Burmese	English	Gender
ေအာင္တင္စိုး	Aung Tin Soe 	M
ေအာင္တင္ထြန္း	Aung Tin Tun 	M
ေအာင္တင္ဝင္း	Aung Tin Win 	M
ေအာင္တင့္	Aung Tint 	M
ေအာင္တိုး	Aung Toe 	M
ေအာင္ထြန္း	Aung Tun 	M
ေအာင္ထြန္းေက်ာ္	Aung Tun Kyaw 	M
ေအာင္ထြန္းၾကည္	Aung Tun Kyi 	M
ေအာင္ထြန္းလင္း	Aung Tun Lin 	M
ေအာင္ထြန္းျမင့္	Aung Tun Myint 	M
ေအာင္ထြန္းႏိုင္	Aung Tun Naing 	M
ေအာင္ထြန္းဦး	Aung Tun Oo 	M
ေအာင္ထြန္းဝင္း	Aung Tun Win 	M
ေအာင္ဝင္း	Aung Win 	M
ေအာင္ဝင္းလႈိင္	Aung Win Hlaing 	M
ေအာင္ဝင္းခိုင္	Aung Win Khaing 	M
ေအာင္ဝင္းႏိုင္	Aung Win Naing 	M
ေအာင္ဝင္းဦး	Aung Win Oo 	M
ေအာင္ဝင္းသိန္း	Aung Win Thein 	M
ေအာင္ဝင္းထြန္း	Aung Win Tun 	M
ေအာင္ဝင္းေဇာ္	Aung Win Zaw 	M
ေအာင္ရီ	Aung Yi 	M
ေအာင္ရင္	Aung Yin 	M
ေအာင္ေဇာ္	Aung Zaw 	M
ေအာင္ေဇာ္လတ္	Aung Zaw Lat 	M
ေအာင္ေဇာ္လင္း	Aung Zaw Lin 	M
ေအာင္ေဇာ္လြင္	Aung Zaw Lwin 	M
ေအာင္ေဇာ္မင္း	Aung Zaw Min 	M
ေအာင္ေဇာ္မိုး	Aung Zaw Moe 	M
ေအာင္ေဇာ္ျမင့္	Aung Zaw Myint 	M
ေအာင္ေဇာ္မ်ဳိး	Aung Zaw Myo 	M
ေအာင္ေဇာ္ႏိုင္	Aung Zaw Naing 	M
ေအာင္ေဇာ္ဦး	Aung Zaw Oo 	M
ေအာင္ေဇာ္စိုး	Aung Zaw Soe 	M
ေအာင္ေဇာ္ထြန္း	Aung Zaw Tun 	M
ေအာင္ေဇာ္ဝင္း	Aung Zaw Win 	M
ေအာင္ေဇာ္ရဲျမင့္	Aung Zaw Ye Myint 	M
ေအာင္ေဇယ်	Aung Zeya 	M
ေအာင္ဇင္	Aung Zin 	M
ေအး	Aye 	M
ေအး	Aye 	F
ေအးေအာင္	Aye Aung 	M
ေအးေအး	Aye Aye 	M
ေအးေအး	Aye Aye 	F
ေအးေအးေအာင္	Aye Aye Aung 	F
ေအးေအးခ်ဳိ	Aye Aye Cho 	F
ေအးေအးဟန္	Aye Aye Han 	F
ေအးေအးလွ	Aye Aye Hla 	F
ေအးေအးလႈိင္	Aye Aye Hlaing 	F
ေအးေအးေဌး	Aye Aye Htay 	F
ေအးေအးေထြး	Aye Aye Htwe 	F
ေအးေအးခိုင္	Aye Aye Khaing 	F
ေအးေအးခင္	Aye Aye Khin 	F
ေအးေအးႀကိဳင္	Aye Aye Kyaing 	F
ေအးေအးေက်ာ္	Aye Aye Kyaw 	F
ေအးေအးၾကည္	Aye Aye Kyi 	F
ေအးေအးၾကဴ	Aye Aye Kyu 	F
ေအးေအးလတ္	Aye Aye Lat 	F
ေအးေအးလြင္	Aye Aye Lwin 	F
ေအးေအးမာ	Aye Aye Mar 	F
ေအးေအးေမာ္	Aye Aye Maw 	F
ေအးေအးမင္း	Aye Aye Min 	F
ေအးေအးမိုး	Aye Aye Moe 	F
ေအးေအးမြန္	Aye Aye Mon 	F
ေအးေအးမူ	Aye Aye Mu 	F
ေအးေအးျမ	Aye Aye Mya 	F
ေအးေအးၿမိဳင္	Aye Aye Myaing 	F
ေအးေအးျမတ္	Aye Aye Myat 	F
ေအးေအးျမင့္	Aye Aye Myint 	F
ေအးေအးႏိုင္	Aye Aye Naing 	F
ေအးေအးႏု	Aye Aye Nu 	F
ေအးေအးႏြယ္	Aye Aye Nwe 	F
ေအးေအးၿငိမ္း	Aye Aye Nyein 	F
ေအးေအးညိဳ	Aye Aye Nyo 	F
ေအးေအးၫြန္႔	Aye Aye Nyunt 	F
ေအးေအးဦး	Aye Aye Oo 	F
ေအးေအးၿပံဳး	Aye Aye Pyone 	F
ေအးေအးစန္း	Aye Aye San 	F
ေအးေအးစိန္	Aye Aye Sein 	F
ေအးေအးေ႐ႊ	Aye Aye Shwe 	F
ေအးေအးစည္	Aye Aye Si 	F
ေအးေအးစိုး	Aye Aye Soe 	F
ေအးေအးေဆြ	Aye Aye Swe 	F
ေအးေအးသန္း	Aye Aye Than 	F
ေအးေအးသန္႔	Aye Aye Thant 	F
ေအးေအးေသာင္း	Aye Aye Thaung 	F
ေအးေအးသိန္း	Aye Aye Thein 	F
ေအးေအးသက္	Aye Aye Thet 	F
ေအးေအးသီ	Aye Aye Thi 	F
ေအးေအးသင္း	Aye Aye Thin 	F
